ID,Link,Name,Rating,Price,Cuisines
93,https://www.swiggy.com/restaurants/goli-vada-pav-2nd-stage-banashankari-bangalore-336872,Goli Vada Pav,4.4,100 for two,"Indian, Snacks"
94,https://www.swiggy.com/restaurants/big-bite-pf-layout-vijayanagar-bangalore-32792,Big Bite,4.3,100 for two,"Beverages, Chinese"
95,https://www.swiggy.com/restaurants/giani-ice-cream-4th-block-jayanagar-bangalore-604536,Giani Ice Cream,4.4,300 for two,"Ice Cream, Desserts"
96,https://www.swiggy.com/restaurants/andhra-gunpowder-shivananda-circle-seshadripuram-bangalore-502957,Andhra Gunpowder,4.4,350 for two,"Andhra, Biryani"
97,https://www.swiggy.com/restaurants/home-plate-by-eatfit-vasanth-nagar-cunningham-road-bangalore-440151,Home Plate by EatFit,4,200 for two,"North Indian, Home Food"
98,https://www.swiggy.com/restaurants/hrx-by-eatfit-ali-asker-road-cunningham-road-bangalore-558773,HRX by EatFit,4.5,450 for two,"Healthy Food, Salads"
99,https://www.swiggy.com/restaurants/mcdonalds-gourmet-burger-collection-mantri-square-malleshwaram-bangalore-395257,McDonald&#39;s Gourmet Burger Collection,4.2,600 for two,"Burgers, Beverages"
100,https://www.swiggy.com/restaurants/the-betel-leaf-co-millars-road-vasanthanagar-bangalore-170528,The Betel Leaf Co.,4.5,200 for two,"Paan, Desserts"
101,https://www.swiggy.com/restaurants/cookie-man-gopalapura-basaveshwaranagar-bangalore-441300,Cookie Man,4.3,500 for two,"Desserts, Ice Cream"
102,https://www.swiggy.com/restaurants/gourmet-ice-cream-cakes-by-baskin-robbins-gt-world-mall-magadi-road-bangalore-476596,Gourmet Ice Cream Cakes by Baskin Robbins,5,200 for two,"Ice Cream Cakes, Desserts"
103,https://www.swiggy.com/restaurants/oven-story-pizza-rashtriya-vidyalaya-rd-jayanagar-bangalore-93499,Oven Story Pizza,4.1,400 for two,"Pizzas, Pastas"
104,https://www.swiggy.com/restaurants/istah-the-mediterranean-way-akkithimanahalli-santhi-nagar-bangalore-503961,Istah - The Mediterranean Way,4.4,250 for two,"Mediterranean, Snacks"
105,https://www.swiggy.com/restaurants/kabab-magic-rv-road-basavanagudi-bangalore-108109,Kabab Magic,4.3,300 for two,"Chinese, South Indian"
106,https://www.swiggy.com/restaurants/meghana-foods-jayanagar-bangalore-655,Meghana Foods,4.4,500 for two,"Biryani, Andhra"
107,https://www.swiggy.com/restaurants/samosa-party-brigade-road-bangalore-312660,Samosa Party,4.6,150 for two,"Fast Food, Snacks"
108,https://www.swiggy.com/restaurants/corner-house-ice-cream-basavanagudi-bangalore-427575,Corner House Ice Cream,4.6,400 for two,"Ice Cream, Desserts"
109,https://www.swiggy.com/restaurants/hotel-empire-majestic-bangalore-41102,Hotel Empire,4.1,450 for two,"North Indian, Kebabs"
